"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889092","1.2.2.1.2","1684583","","","","0"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889093","1.2.2.1.3","1841452","","","","0"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009471","1.2.2.1.4","2.3","","","","1"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Percent","Percent","239","units ","0","v4009472","1.2.2.1.5","100.0","","","","1"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009473","1.2.2.1.6","100.0","","","","1"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009474","1.2.2.1.7","100.0","","","","1"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009475","1.2.2.1.8","0.0","","","","1"
"1994","Canada","","12-19 years","Males","With high blood pressure","Number of persons","Persons","249","units ","0","v1889094","1.2.2.2.1","","F","","","0"
"1994","Canada","","12-19 years","Males","With high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889095","1.2.2.2.2","","F","","","0"
"1994","Canada","","12-19 years","Males","With high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889096","1.2.2.2.3","","F","","","0"
"1994","Canada","","12-19 years","Males","With high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009479","1.2.2.2.4","","F","","","1"
"1994","Canada","","12-19 years","Males","With high blood pressure","Percent","Percent","239","units ","0","v4009480","1.2.2.2.5","","F","","","1"
"1994","Canada","","12-19 years","Males","With high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009481","1.2.2.2.6","","F","","","1"
"1994","Canada","","12-19 years","Males","With high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009482","1.2.2.2.7","","F","","","1"
"1994","Canada","","12-19 years","Males","With high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009483","1.2.2.2.8","","F","","","1"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Number of persons","Persons","249","units ","0","v1889097","1.2.2.3.1","1760400","","","","0"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889098","1.2.2.3.2","1682153","","","","0"
"1994","Canada","","12-19 years","Males","Without high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889099","1.2.2.3.3","1838646","","","","0"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009487","1.2.2.3.4","2.3","","","","1"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Percent","Percent","239","units ","0","v4009488","1.2.2.3.5","99.9","","","","1"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009489","1.2.2.3.6","99.6","","","","1"
"1994","Canada","","12-19 years","Males","Without high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009490","1.2.2.3.7","100.1","","","","1"
"1994","Canada","","12-19 years","Males","Without high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009491","1.2.2.3.8","0.1","","","","1"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Number of persons","Persons","249","units ","0","v1889100","1.2.2.4.1","","F","","","0"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889101","1.2.2.4.2","","F","","","0"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889102","1.2.2.4.3","","F","","","0"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4009495","1.2.2.4.4","","F","","","1"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Percent","Percent","239","units ","0","v4009496","1.2.2.4.5","","F","","","1"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4009497","1.2.2.4.6","","F","","","1"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4009498","1.2.2.4.7","","F","","","1"
"1994","Canada","","12-19 years","Males","High blood pressure, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4009499","1.2.2.4.8","","F","","","1"
"1994","Canada","","12-19 years","Females","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889103","1.2.3.1.1","1609388","","","","0"
"1994","Canada","","12-19 years","Females","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889104","1.2.3.1.2","1528142","","","","0"
